p93;i_6_p9;i_2_p9;p4;p1;p3;p5;region;p7;p92;p84;p91;p96;p10;p8;p81;p83;folio_encuesta;fecha;diferencia_edad_pareja;anios_convivencia_aprox
1;6;6;31;2;2;17;1;8;4;2021;37;1;4;4;1;1;1106903;2022-10-30;-6;
3;6;4;29;2;2;13;1;8;4;2000;30;;4;4;1;1;1106905;2022-11-09;-1;
3;7;7;46;2;2;9;1;1;5;1996;45;1;5;5;1;1;1107001;2022-09-01;1;
2;5;6;72;1;1;10;1;1;4;1968;68;;3;4;1;1;1107002;2022-09-01;4;
2;7;7;24;2;2;9;1;8;3;2020;22;1;5;5;1;1;1107003;2022-09-01;2;
3;5;5;80;1;1;8;1;1;4;1970;70;1;4;4;1;1;1107005;2022-09-02;10;
3;7;3;32;1;1;9;1;2;5;2019;32;1;3;3;1;1;1107009;2022-09-02;0;
3;3;6;45;2;2;9;1;1;3;2010;45;1;3;3;1;1;1107101;2022-09-21;0;
3;5;6;40;2;2;9;1;8;1;2006;40;1;4;4;1;1;1107104;2022-09-25;0;
2;7;6;47;2;2;9;1;1;4;1997;48;1;4;5;1;1;1107108;2022-09-28;-1;
2;7;6;47;2;2;7;1;8;4;1997;47;1;4;5;1;1;1107109;2022-09-28;0;
3;7;7;23;1;1;9;1;8;2;2022;25;1;5;4;1;1;1107110;2022-09-28;-2;
2;7;7;29;2;2;9;1;8;2;2006;31;1;3;3;1;1;1107302;2022-08-24;-2;
2;7;5;44;1;1;11;1;2;1;2002;41;1;3;4;1;1;1107303;2022-08-24;3;
2;5;5;31;2;2;11;1;8;2;2012;42;1;3;3;1;1;1107308;2022-08-30;-11;
1;1;5;66;2;2;9;1;1;1;1976;71;2;3;4;1;1;1107401;2022-09-06;-5;
3;6;7;62;1;1;9;1;8;4;1980;60;1;4;4;1;1;1107402;2022-09-06;2;
2;4;4;50;2;2;9;1;2;6;1990;51;1;2;3;1;1;1107404;2022-09-06;-1;
1;4;4;52;2;2;10;1;1;1;1991;55;1;3;4;1;1;1107602;2022-10-08;-3;
1;7;7;32;2;2;15;1;8;1;2012;30;1;4;5;1;1;1107604;2022-10-08;2;
3;6;7;33;2;2;13;1;1;2;2011;35;1;4;4;1;1;1107605;2022-10-09;-2;
1;4;4;53;2;2;13;1;6;2;2019;56;;3;3;1;1;1107609;2022-09-13;-3;
3;5;5;71;1;1;7;1;1;5;1996;52;1;3;4;1;1;1107706;2022-09-27;19;
3;7;6;23;2;2;9;1;8;2;2020;42;1;5;4;1;1;1107803;2022-10-30;-19;
1;5;6;63;1;1;9;1;1;6;1984;56;1;4;4;1;1;1108004;2022-08-29;7;
3;5;4;59;1;1;11;1;1;4;1996;62;1;3;4;1;1;1108008;2022-09-01;-3;
3;6;5;28;2;2;13;1;8;4;2014;29;1;3;4;1;1;1108009;2022-09-01;-1;
3;5;7;34;1;1;9;1;2;4;2018;32;1;5;5;1;1;1108010;2022-09-07;2;
2;7;5;32;2;2;13;1;1;1;2015;34;1;3;3;1;1;1108201;2022-10-13;-2;
1;5;6;58;2;2;9;1;1;1;1990;66;2;4;5;1;1;1108202;2022-10-14;-8;
3;7;7;46;1;1;9;1;6;5;2022;33;1;5;5;1;1;1108206;2022-10-20;13;
3;1;4;57;2;2;14;1;2;5;2006;56;2;3;4;1;1;1108207;2022-10-26;1;
3;7;7;43;1;1;12;1;1;5;1999;42;1;4;5;1;1;1108208;2022-10-28;1;
1;7;7;43;2;2;11;1;1;6;1999;43;1;3;4;1;1;1108210;2022-10-28;0;
2;7;7;45;2;2;14;1;2;6;1999;49;1;4;5;1;1;1108305;2022-11-20;-4;
3;7;6;49;1;1;13;1;8;5;2021;49;1;5;5;1;1;1108401;2022-09-15;0;
3;6;6;25;1;1;14;1;2;3;2017;21;1;5;4;1;1;1108404;2022-09-14;4;
3;7;7;23;2;2;13;1;8;4;2020;24;1;3;3;1;1;1108406;2022-09-14;-1;
1;7;7;30;2;2;11;1;8;6;2009;33;1;3;3;1;1;1108407;2022-09-12;-3;
1;1;5;63;2;2;9;1;1;3;1975;68;2;3;3;1;1;1108409;2022-09-09;-5;
3;1;1;67;1;1;7;1;1;4;1982;63;1;2;2;1;1;1108410;2022-09-08;4;
3;7;7;40;2;2;11;1;1;;2018;49;1;4;3;1;1;1108501;2022-11-07;-9;
3;6;6;42;1;1;15;1;1;5;2003;39;1;4;4;1;1;1108502;2022-11-13;3;
3;7;5;32;2;2;9;1;2;1;2016;33;1;5;5;1;1;1108506;2022-11-04;-1;
1;7;7;22;2;2;11;1;8;6;2019;24;1;5;4;1;1;1108507;2022-11-04;-2;
3;7;7;42;2;2;14;1;1;2;2014;41;1;4;4;1;1;1108509;2022-10-08;1;
3;1;7;51;2;2;12;1;1;5;1992;49;1;2;4;1;1;1108510;2022-11-04;2;
2;6;6;45;2;2;12;1;1;2;2002;43;1;4;4;1;1;1108602;2022-11-17;2;
3;7;6;27;1;1;15;1;8;6;2021;27;1;5;4;1;1;1108603;2022-11-18;0;
1;6;7;32;2;2;15;1;2;2;2011;51;1;4;4;1;1;1108605;2022-11-09;-19;
1;6;7;48;2;2;13;1;1;6;2005;40;1;4;4;1;1;1108606;2022-11-09;8;
2;6;7;36;2;2;12;1;2;6;2017;50;1;5;4;1;1;1108608;2022-11-15;-14;
2;5;6;38;2;2;13;1;1;2;2007;42;1;4;4;1;1;1108609;2022-11-15;-4;
3;7;7;59;1;1;13;1;1;5;2017;53;1;5;5;1;1;1108610;2022-11-15;6;
3;6;6;53;1;1;9;1;1;5;2001;50;1;4;3;1;1;1108704;2022-10-30;3;
1;5;5;55;2;2;9;1;1;2;2000;52;1;3;4;1;1;1108705;2022-10-30;3;
1;7;6;40;2;2;15;1;1;6;2008;38;1;3;4;1;1;1108902;2022-10-06;2;
2;6;5;26;2;2;14;1;1;2;2021;28;1;4;4;1;1;1108903;2022-10-10;-2;
3;6;5;34;1;1;9;1;8;3;2016;29;1;4;3;1;1;1108904;2022-10-08;5;
3;7;7;45;2;2;15;1;2;2;2019;47;1;4;4;1;1;1108910;2022-09-07;-2;
3;7;7;56;2;2;14;1;6;5;1995;56;1;5;5;1;1;1109006;2022-11-20;0;
2;7;7;60;2;2;8;1;1;1;1984;66;2;5;5;1;1;1109101;2022-09-06;-6;
